,symbol,id,expirationDate,contractSize,strikePrice,closingPrice,side,type,volume,openInterest,bid,ask,lastUpdated,isAdjusted
820,AMZN,AMZN20191122C02032500,20191122,100,2032.5,0.44,call,equity,0,23,0.0,0.13,2019-11-21,False
821,AMZN,AMZN20191122C01832500,20191122,100,1832.5,0.35,call,equity,0,247,0.01,0.17,2019-11-21,False
822,AMZN,AMZN20191122C02015000,20191122,100,2015.0,0.08,call,equity,0,126,0.0,0.13,2019-11-21,False
823,AMZN,AMZN20191122C01872500,20191122,100,1872.5,0.25,call,equity,0,164,0.0,0.1,2019-11-21,False
824,AMZN,AMZN20191122P01895000,20191122,100,1895.0,154.199997,put,equity,0,0,158.300003,160.850006,2019-11-21,False
825,AMZN,AMZN20191122P01942500,20191122,100,1942.5,186.5,put,equity,0,0,205.800003,208.350006,2019-11-21,False
826,AMZN,AMZN20191122P01952500,20191122,100,1952.5,183.850006,put,equity,0,0,215.800003,218.350006,2019-11-21,False
827,AMZN,AMZN20191122P01862500,20191122,100,1862.5,119.150002,put,equity,0,0,125.800003,128.350006,2019-11-21,False
828,AMZN,AMZN20191122P01992500,20191122,100,1992.5,0.0,put,equity,0,0,255.800003,258.350006,2019-11-21,False
829,AMZN,AMZN20191122P01842500,20191122,100,1842.5,104.800003,put,equity,6,9,105.800003,108.349998,2019-11-21,False
830,AMZN,AMZN20191122P01962500,20191122,100,1962.5,0.0,put,equity,0,0,225.800003,228.350006,2019-11-21,False
831,AMZN,AMZN20191122P02045000,20191122,100,2045.0,0.0,put,equity,0,0,308.299988,312.850006,2019-11-21,False
832,AMZN,AMZN20191122P01887500,20191122,100,1887.5,146.949997,put,equity,0,0,150.800003,153.350006,2019-11-21,False
833,AMZN,AMZN20191122P01917500,20191122,100,1917.5,188.149994,put,equity,0,1,180.800003,183.350006,2019-11-21,False
834,AMZN,AMZN20191122P01847500,20191122,100,1847.5,108.879997,put,equity,1,0,110.800003,113.349998,2019-11-21,False
835,AMZN,AMZN20191122P01865000,20191122,100,1865.0,122.349998,put,equity,0,0,128.300003,130.850006,2019-11-21,False
836,AMZN,AMZN20191122P01937500,20191122,100,1937.5,205.949997,put,equity,0,1,200.800003,203.350006,2019-11-21,False
837,AMZN,AMZN20191122P01945000,20191122,100,1945.0,193.320007,put,equity,0,0,208.300003,210.850006,2019-11-21,False
838,AMZN,AMZN20191122P02047500,20191122,100,2047.5,0.0,put,equity,0,0,310.799988,315.350006,2019-11-21,False
839,AMZN,AMZN20191122P01982500,20191122,100,1982.5,0.0,put,equity,0,0,245.800003,248.350006,2019-11-21,False
840,AMZN,AMZN20191122P01902500,20191122,100,1902.5,158.699997,put,equity,0,0,165.800003,168.350006,2019-11-21,False
841,AMZN,AMZN20191122P02007500,20191122,100,2007.5,0.0,put,equity,0,0,270.799988,273.350006,2019-11-21,False
842,AMZN,AMZN20191122P01965000,20191122,100,1965.0,182.899994,put,equity,0,0,228.300003,230.850006,2019-11-21,False
843,AMZN,AMZN20191122P02015000,20191122,100,2015.0,0.0,put,equity,0,0,278.299988,282.850006,2019-11-21,False
844,AMZN,AMZN20191122P01987500,20191122,100,1987.5,0.0,put,equity,0,0,250.800003,253.350006,2019-11-21,False
845,AMZN,AMZN20191122P02052500,20191122,100,2052.5,0.0,put,equity,0,0,315.799988,318.950012,2019-11-21,False
846,AMZN,AMZN20191122P02062500,20191122,100,2062.5,0.0,put,equity,0,0,325.799988,330.350006,2019-11-21,False
847,AMZN,AMZN20191122P02002500,20191122,100,2002.5,233.5,put,equity,0,0,265.799988,268.350006,2019-11-21,False
848,AMZN,AMZN20191122P01922500,20191122,100,1922.5,166.5,put,equity,0,0,185.800003,188.350006,2019-11-21,False
849,AMZN,AMZN20191122P01877500,20191122,100,1877.5,135.850006,put,equity,0,0,140.800003,143.350006,2019-11-21,False
850,AMZN,AMZN20191122P01897500,20191122,100,1897.5,156.699997,put,equity,0,0,160.800003,163.350006,2019-11-21,False
851,AMZN,AMZN20191122P01867500,20191122,100,1867.5,122.400002,put,equity,0,0,130.800003,133.350006,2019-11-21,False
852,AMZN,AMZN20191122P01932500,20191122,100,1932.5,195.149994,put,equity,1,0,195.800003,198.350006,2019-11-21,False
853,AMZN,AMZN20191122P01927500,20191122,100,1927.5,194.960007,put,equity,6,5,190.800003,193.350006,2019-11-21,False
854,AMZN,AMZN20191122P01997500,20191122,100,1997.5,0.0,put,equity,0,0,260.799988,263.350006,2019-11-21,False
855,AMZN,AMZN20191122P02035000,20191122,100,2035.0,0.0,put,equity,0,0,298.299988,302.850006,2019-11-21,False
856,AMZN,AMZN20191122P01837500,20191122,100,1837.5,93.050003,put,equity,0,5,100.699997,103.349998,2019-11-21,False
857,AMZN,AMZN20191122P01975000,20191122,100,1975.0,205.5,put,equity,0,0,238.300003,240.850006,2019-11-21,False
858,AMZN,AMZN20191122P01977500,20191122,100,1977.5,208.800003,put,equity,0,0,240.800003,243.350006,2019-11-21,False
859,AMZN,AMZN20191122P02022500,20191122,100,2022.5,0.0,put,equity,0,0,285.799988,290.350006,2019-11-21,False
860,AMZN,AMZN20191122P01955000,20191122,100,1955.0,187.449997,put,equity,0,0,218.300003,220.850006,2019-11-21,False
861,AMZN,AMZN20191122P01947500,20191122,100,1947.5,178.449997,put,equity,0,0,210.800003,213.350006,2019-11-21,False
862,AMZN,AMZN20191122P01905000,20191122,100,1905.0,147.800003,put,equity,0,0,168.300003,170.850006,2019-11-21,False
863,AMZN,AMZN20191122P01985000,20191122,100,1985.0,238.75,put,equity,0,0,248.300003,250.850006,2019-11-21,False
864,AMZN,AMZN20191122P01915000,20191122,100,1915.0,171.199997,put,equity,0,0,178.300003,180.850006,2019-11-21,False
865,AMZN,AMZN20191122P02037500,20191122,100,2037.5,0.0,put,equity,0,0,300.799988,305.350006,2019-11-21,False
866,AMZN,AMZN20191122P01855000,20191122,100,1855.0,98.400002,put,equity,0,0,118.300003,120.849998,2019-11-21,False
867,AMZN,AMZN20191122P02057500,20191122,100,2057.5,0.0,put,equity,0,0,320.799988,325.350006,2019-11-21,False
868,AMZN,AMZN20191122P01885000,20191122,100,1885.0,144.449997,put,equity,0,0,148.300003,150.850006,2019-11-21,False
869,AMZN,AMZN20191122P01892500,20191122,100,1892.5,150.929993,put,equity,0,0,155.800003,158.350006,2019-11-21,False
870,AMZN,AMZN20191122P01912500,20191122,100,1912.5,157.25,put,equity,0,0,175.800003,178.350006,2019-11-21,False
871,AMZN,AMZN20191122P01967500,20191122,100,1967.5,0.0,put,equity,0,0,230.800003,233.350006,2019-11-21,False
872,AMZN,AMZN20191122P01882500,20191122,100,1882.5,140.850006,put,equity,0,0,145.800003,148.350006,2019-11-21,False
873,AMZN,AMZN20191122P02032500,20191122,100,2032.5,0.0,put,equity,0,0,295.799988,300.350006,2019-11-21,False
874,AMZN,AMZN20191122P01935000,20191122,100,1935.0,150.699997,put,equity,0,0,198.300003,200.850006,2019-11-21,False
875,AMZN,AMZN20191122P01852500,20191122,100,1852.5,95.400002,put,equity,0,0,116.449997,118.349998,2019-11-21,False
876,AMZN,AMZN20191122P01907500,20191122,100,1907.5,166.300003,put,equity,0,1,170.800003,173.350006,2019-11-21,False
877,AMZN,AMZN20191122P01872500,20191122,100,1872.5,113.0,put,equity,0,0,135.800003,138.350006,2019-11-21,False
878,AMZN,AMZN20191122P02012500,20191122,100,2012.5,250.429993,put,equity,0,0,275.799988,280.350006,2019-11-21,False
879,AMZN,AMZN20191122P01972500,20191122,100,1972.5,203.550003,put,equity,0,0,235.800003,238.350006,2019-11-21,False
880,AMZN,AMZN20191122P01995000,20191122,100,1995.0,0.0,put,equity,0,0,258.299988,260.850006,2019-11-21,False
