date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
2019-03-19,1753.51,1761.85,1784.16,1753.51,6364161,1753.51,1761.85,1784.16,1753.51,6364161,19.7,1.1308,"Mar 19, 19",0.172956
2019-03-20,1769.94,1797.27,1799.5,1767.03,6265633,1769.94,1797.27,1799.5,1767.03,6265633,35.42,2.0104,"Mar 20, 19",0.196537
2019-03-21,1796.26,1819.26,1823.75,1787.28,5767797,1796.26,1819.26,1823.75,1787.28,5767797,21.99,1.2235,"Mar 21, 19",0.211177
2019-03-22,1810.17,1764.77,1818.98,1763.11,6362983,1810.17,1764.77,1818.98,1763.11,6362983,-54.49,-2.9952,"Mar 22, 19",0.1749
2019-03-25,1757.79,1774.26,1782.67,1747.5,5103803,1757.79,1774.26,1782.67,1747.5,5103803,9.49,0.5377,"Mar 25, 19",0.181218
2019-03-26,1793.0,1783.76,1805.77,1773.35,4865880,1793.0,1783.76,1805.77,1773.35,4865880,9.5,0.5354,"Mar 26, 19",0.187542
2019-03-27,1784.13,1765.7,1787.5,1745.68,4324801,1784.13,1765.7,1787.5,1745.68,4324801,-18.06,-1.0125,"Mar 27, 19",0.175519
2019-03-28,1770.0,1773.42,1777.93,1753.47,3042958,1770.0,1773.42,1777.93,1753.47,3042958,7.72,0.4372,"Mar 28, 19",0.180659
2019-03-29,1786.58,1780.75,1792.86,1776.63,3320793,1786.58,1780.75,1792.86,1776.63,3320793,7.33,0.4133,"Mar 29, 19",0.185539
2019-04-01,1800.11,1814.19,1815.67,1798.73,4238752,1800.11,1814.19,1815.67,1798.73,4238752,33.44,1.8779,"Apr 1, 19",0.207801
2019-04-02,1811.02,1813.98,1820.0,1805.12,3448115,1811.02,1813.98,1820.0,1805.12,3448115,-0.21,-0.0116,"Apr 2, 19",0.207661
2019-04-03,1826.72,1820.7,1830.0,1809.62,3980590,1826.72,1820.7,1830.0,1809.62,3980590,6.72,0.3705,"Apr 3, 19",0.212135
2019-04-04,1820.65,1818.86,1828.75,1804.2,3623867,1820.65,1818.86,1828.75,1804.2,3623867,-1.84,-0.1011,"Apr 4, 19",0.21091
2019-04-05,1829.0,1837.28,1838.58,1825.19,3640476,1829.0,1837.28,1838.58,1825.19,3640476,18.42,1.0127,"Apr 5, 19",0.223174
2019-04-08,1833.23,1849.86,1850.2,1825.11,3752841,1833.23,1849.86,1850.2,1825.11,3752841,12.58,0.6847,"Apr 8, 19",0.231549
2019-04-09,1845.49,1835.84,1853.09,1831.78,3714368,1845.49,1835.84,1853.09,1831.78,3714368,-14.02,-0.7579,"Apr 9, 19",0.222215
2019-04-10,1841.0,1847.33,1848.0,1828.81,2963973,1841.0,1847.33,1848.0,1828.81,2963973,11.49,0.6259,"Apr 10, 19",0.229864
2019-04-11,1848.7,1844.07,1849.95,1840.31,2654842,1848.7,1844.07,1849.95,1840.31,2654842,-3.26,-0.1765,"Apr 11, 19",0.227694
2019-04-12,1848.4,1843.06,1851.5,1841.3,3114413,1848.4,1843.06,1851.5,1841.3,3114413,-1.01,-0.0548,"Apr 12, 19",0.227022
2019-04-15,1842.0,1844.87,1846.85,1818.9,3724423,1842.0,1844.87,1846.85,1818.9,3724423,1.81,0.0982,"Apr 15, 19",0.228227
2019-04-16,1851.35,1863.04,1869.77,1848.0,3044618,1851.35,1863.04,1869.77,1848.0,3044618,18.17,0.9849,"Apr 16, 19",0.240323
2019-04-17,1872.99,1864.82,1876.47,1860.44,2893517,1872.99,1864.82,1876.47,1860.44,2893517,1.78,0.0955,"Apr 17, 19",0.241508
2019-04-18,1868.79,1861.69,1870.82,1859.48,2749882,1868.79,1861.69,1870.82,1859.48,2749882,-3.13,-0.1678,"Apr 18, 19",0.239425
2019-04-22,1855.4,1887.31,1888.42,1845.64,3373807,1855.4,1887.31,1888.42,1845.64,3373807,25.62,1.3762,"Apr 22, 19",0.256481
2019-04-23,1891.2,1923.77,1929.26,1889.58,4640441,1891.2,1923.77,1929.26,1889.58,4640441,36.46,1.9319,"Apr 23, 19",0.280754
2019-04-24,1925.0,1901.75,1929.69,1898.16,3675781,1925.0,1901.75,1929.69,1898.16,3675781,-22.02,-1.1446,"Apr 24, 19",0.266095
2019-04-25,1917.0,1902.25,1922.45,1900.31,6099101,1917.0,1902.25,1922.45,1900.31,6099101,0.5,0.0263,"Apr 25, 19",0.266427
2019-04-26,1929.0,1950.63,1951.0,1898.0,8432563,1929.0,1950.63,1951.0,1898.0,8432563,48.38,2.5433,"Apr 26, 19",0.298637
2019-04-29,1949.0,1938.43,1956.33,1934.09,4021255,1949.0,1938.43,1956.33,1934.09,4021255,-12.2,-0.6254,"Apr 29, 19",0.290514
2019-04-30,1930.1,1926.52,1935.71,1906.95,3506007,1930.1,1926.52,1935.71,1906.95,3506007,-11.91,-0.6144,"Apr 30, 19",0.282585
2019-05-01,1933.09,1911.52,1943.64,1910.55,3116964,1933.09,1911.52,1943.64,1910.55,3116964,-15.0,-0.7786,"May 1, 19",0.272599
2019-05-02,1913.33,1900.82,1921.55,1881.87,3962915,1913.33,1900.82,1921.55,1881.87,3962915,-10.7,-0.5598,"May 2, 19",0.265475
2019-05-03,1949.0,1962.46,1964.4,1936.0,6381564,1949.0,1962.46,1964.4,1936.0,6381564,61.64,3.2428,"May 3, 19",0.306512
2019-05-06,1917.98,1950.55,1959.0,1910.5,5417841,1917.98,1950.55,1959.0,1910.5,5417841,-11.91,-0.6069,"May 6, 19",0.298583
2019-05-07,1939.99,1921.0,1949.1,1903.37,5902134,1939.99,1921.0,1949.1,1903.37,5902134,-29.55,-1.515,"May 7, 19",0.27891
2019-05-08,1918.87,1917.77,1935.37,1910.0,4078568,1918.87,1917.77,1935.37,1910.0,4078568,-3.23,-0.1681,"May 8, 19",0.27676
2019-05-09,1900.0,1899.87,1909.4,1876.0,5308263,1900.0,1899.87,1909.4,1876.0,5308263,-17.9,-0.9334,"May 9, 19",0.264843
2019-05-10,1898.0,1889.98,1903.79,1856.0,5717994,1898.0,1889.98,1903.79,1856.0,5717994,-9.89,-0.5206,"May 10, 19",0.258259
2019-05-13,1836.56,1822.68,1846.53,1818.0,5783410,1836.56,1822.68,1846.53,1818.0,5783410,-67.3,-3.5609,"May 13, 19",0.213454
2019-05-14,1839.5,1840.12,1852.44,1815.75,4629107,1839.5,1840.12,1852.44,1815.75,4629107,17.44,0.9568,"May 14, 19",0.225064
2019-05-15,1827.95,1871.15,1874.42,1823.0,4692642,1827.95,1871.15,1874.42,1823.0,4692642,31.03,1.6863,"May 15, 19",0.245723
2019-05-16,1885.94,1907.57,1917.51,1882.29,4707822,1885.94,1907.57,1917.51,1882.29,4707822,36.42,1.9464,"May 16, 19",0.269969
